Datum;Titel;Medium;Land;Typ;Kategorie;Autoren;Tags
2025 02 06;Israeli Soldiers Start Invasion of Gaza’s South, Satellite Images Show;The New York Times;Gaza Strip;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;How China is tearing down Islam;Financial Times;China;Artikel;;Max Mustermann;Energie
2025 02 06;Satellite images show Israeli tanks 600 feet from Al-Shifa Hospital;The New York Times;Gaza Strip;Artikel;Israel-Hamas War;Max Mustermann;Energie
2025 02 06;Satellite imagery shows Israel’s advance into central Gaza.;Washington Post;Gaza Strip;Artikel;;Max Mustermann;Energie
2025 02 06;Russians are razing Avdiivka to the ground - satellite imagery shows severe damage to the city in October;Texty;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;A Detailed Satellite View of Israel’s Invasion;The New York Times;Gaza Strip;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;Sattelite Images Show the Devastating Cost of Sudan’s Aerial War;Wired;Sudan;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;Satellite Images Show the Scale of Destruction on Maui;The New York Times;USA;Artikel;Wildfires;Max Mustermann;Energie
2025 02 06;Satellite imagery shows evidence of new graves after Tigray massacres;Washington Post;Ethopia;Artikel;"Armed Conflict,
War Crime";Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Zo belandt fout Braziliaans rundvlees toch op een Nederlands bord;NRC;Brazil;Artikel;;Max Mustermann;Energie
2025 02 06;Überall in Russland wachsen die Friedhöfe;Die Zeit;Russia;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Satellite Images Reveal How Russia's Invasion Has Devastated The Environment In Ukraine;Radio Free Europe/Radio Liberty;Ukraine;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;When Ukraine goes dark;Washington Post;Ukraine War;Artikel;Infrastructure;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Data from satellites reveal the vast extent of fighting in Ukraine;The Economist;Ukraine;Artikel;Armed Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Das Sinnbild des Grauens;Die Zeit;Ukraine;Artikel;;Max Mustermann;Energie
2025 02 06;Satellitenbilder zeigen langfristige Erdbebenfolgen in der Türkei und in Syrien;Der Spiegel;"Turkey; Syria";Artikel;Turkey/Syria Earthquake;Max Mustermann;Energie
2025 02 06;Satellitenbilder zeigen die Ruinen von Soledar und Bachmut;Der Spiegel;Ukraine;Artikel;Russia/Ukriane Conflict;Max Mustermann;Energie
2025 02 06;So sieht die WM aus dem All aus;Der Spiegel;Qatar;Artikel;;Max Mustermann;Energie
2025 02 06;What Qatar Built for the Most Expensive World Cup Ever;Bloomberg;Qatar;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Ukraine war: What do satellite images of the Kerch Bridge explosion tell us about the cause of the blast?;Sky News;Ukraine;Artikel;Conflict;Max Mustermann;Energie
2025 02 06;;;;Artikel;;Max Mustermann;Energie
2025 02 06;Pakistan and its submerged cities;Reuters;Pakistan;Artikel;Flooding;Max Mustermann;Energie
